	ORDER_ID	SUBORDER_ID	SUBPRODUCT_ID	EQUIPMENT_ID 	MAKE_TIME	UNIT	EQUIPMENT_MODE	SETUP_TIME	IS_PRESENT	START_TIME	END_TIME
0	order_232	suborder_1058	subproduct_1645	equip_126	1	kg	mode_0	550	1	2021-12-14 03:52:00	2021-12-14 13:03:00
1	order_393	suborder_4586	subproduct_1645	equip_126	1	kg	mode_0	550	1	2021-12-14 13:03:00	2021-12-14 22:14:00
2	order_148	suborder_1059	subproduct_1646	equip_126	3	kg	mode_0	550	1	2022-01-05 08:32:00	2022-01-05 17:45:00
3	order_148	suborder_2101	subproduct_1646	equip_126	3	kg	mode_0	550	0	0	0
4	order_148	suborder_4357	subproduct_1646	equip_126	3	kg	mode_0	550	1	2022-01-05 17:45:00	2022-01-06 02:58:00
5	order_148	suborder_5092	subproduct_1646	equip_126	3	kg	mode_0	550	0	0	0
6	order_148	suborder_8496	subproduct_1646	equip_126	3	kg	mode_0	550	1	2022-01-06 02:58:00	2022-01-06 12:11:00
7	order_148	suborder_10316	subproduct_1646	equip_126	3	kg	mode_0	550	1	2022-01-06 12:11:00	2022-01-06 21:24:00
8	order_148	suborder_10488	subproduct_1646	equip_126	3	kg	mode_0	550	1	2022-01-06 21:24:00	2022-01-07 06:37:00
9	order_467	suborder_1095	subproduct_1599	equip_126	1	kg	mode_0	550	1	2021-12-14 22:14:00	2021-12-15 07:25:00
10	order_66	suborder_1731	subproduct_1599	equip_126	1	kg	mode_0	550	1	2021-12-15 16:36:00	2021-12-16 01:47:00
11	order_102	suborder_2104	subproduct_1599	equip_126	1	kg	mode_0	550	1	2021-12-16 01:47:00	2021-12-16 10:58:00
12	order_434	suborder_3645	subproduct_1599	equip_126	1	kg	mode_0	550	1	2021-12-16 10:58:00	2021-12-16 20:09:00
13	order_99	suborder_4055	subproduct_1599	equip_126	1	kg	mode_0	550	0	0	0
14	order_504	suborder_7294	subproduct_1599	equip_126	1	kg	mode_0	550	0	0	0
